Team A0 1,Team B0 7
Team A2244 4,Team B2244 1
Team A2245 3,Team B2245 0
Team A2246 6,Team B2246 8
Team A2247 6,Team B2247 1
Team A2248 9,Team B2248 8
Team A2249 5,Team B2249 9
Team A2250 8,Team B2250 9
Team A2251 1,Team B2251 6
Team A2252 1,Team B2252 6
Team A2253 0,Team B2253 3
Team A2254 2,Team B2254 9
Team A2255 2,Team B2255 6
Team A2256 8,Team B2256 4
Team A2257 0,Team B2257 2
Team A2258 1,Team B2258 3
Team A2259 1,Team B2259 6
Team A2260 1,Team B2260 2
Team A2261 7,Team B2261 6
Team A2262 5,Team B2262 2
Team A2263 1,Team B2263 2
Team A2264 8,Team B2264 9
Team A2265 8,Team B2265 3
Team A2266 2,Team B2266 9
Team A2267 8,Team B2267 0
Team A2268 0,Team B2268 1
Team A2269 2,Team B2269 4
Team A2270 2,Team B2270 5
Team A2271 6,Team B2271 8
Team A2272 3,Team B2272 0
Team A2273 5,Team B2273 5
Team A2274 6,Team B2274 2
Team A2275 7,Team B2275 2
Team A2276 2,Team B2276 6
Team A2277 9,Team B2277 7
Team A2278 2,Team B2278 7
Team A2279 9,Team B2279 4
Team A2280 4,Team B2280 5
Team A2281 2,Team B2281 0
Team A2282 5,Team B2282 8
Team A2283 5,Team B2283 0
Team A2284 4,Team B2284 5
Team A2285 7,Team B2285 5
Team A2286 0,Team B2286 8
Team A2287 2,Team B2287 8
Team A2288 2,Team B2288 8
Team A2289 8,Team B2289 5
Team A2290 6,Team B2290 0
Team A2291 4,Team B2291 9
Team A2292 0,Team B2292 6
Team A2293 5,Team B2293 1
Team A2294 0,Team B2294 1
Team A2295 3,Team B2295 2
Team A2296 9,Team B2296 3
Team A2297 5,Team B2297 1
Team A2298 9,Team B2298 8
Team A2299 7,Team B2299 5
Team A2300 7,Team B2300 7
Team A2301 9,Team B2301 2
Team A2302 7,Team B2302 4
Team A2303 9,Team B2303 2
Team A2304 0,Team B2304 7
Team A2305 2,Team B2305 9
Team A2306 7,Team B2306 5
Team A2307 5,Team B2307 3
Team A2308 2,Team B2308 0
Team A2309 3,Team B2309 5
Team A2310 5,Team B2310 5
Team A2311 4,Team B2311 7
Team A2312 2,Team B2312 7
Team A2313 8,Team B2313 2
Team A2314 4,Team B2314 3
Team A2315 4,Team B2315 6
Team A2316 6,Team B2316 2
Team A2317 0,Team B2317 6
Team A2318 1,Team B2318 6
Team A2319 2,Team B2319 3
Team A2320 2,Team B2320 4
Team A2321 5,Team B2321 0
Team A2322 4,Team B2322 0
Team A2323 8,Team B2323 0
Team A2324 2,Team B2324 7
Team A2325 0,Team B2325 3
Team A2326 6,Team B2326 6
Team A2327 6,Team B2327 0
Team A2328 0,Team B2328 2
Team A2329 2,Team B2329 7
Team A2330 9,Team B2330 8
Team A2331 4,Team B2331 1
Team A2332 8,Team B2332 7
Team A2333 0,Team B2333 9
Team A2334 7,Team B2334 5
Team A2335 3,Team B2335 8
Team A2336 1,Team B2336 1
Team A2337 7,Team B2337 8
Team A2338 7,Team B2338 4
Team A2339 1,Team B2339 5
Team A2340 2,Team B2340 9
Team A2341 1,Team B2341 8
Team A2342 3,Team B2342 9
Team A2343 2,Team B2343 0
Team A2344 9,Team B2344 6
Team A2345 7,Team B2345 9
Team A2346 2,Team B2346 7
Team A2347 9,Team B2347 4
Team A2348 2,Team B2348 0
Team A2349 8,Team B2349 2
Team A2350 9,Team B2350 2
Team A2351 7,Team B2351 6
Team A2352 2,Team B2352 5
Team A2353 7,Team B2353 4
Team A2354 1,Team B2354 4
Team A2355 5,Team B2355 0
Team A2356 6,Team B2356 0
Team A2357 9,Team B2357 5
Team A2358 4,Team B2358 5
Team A2359 1,Team B2359 8
Team A2360 1,Team B2360 3
Team A2361 7,Team B2361 7
Team A2362 3,Team B2362 7
Team A2363 6,Team B2363 1
Team A2364 9,Team B2364 9
Team A2365 6,Team B2365 7
Team A2366 3,Team B2366 5
Team A2367 6,Team B2367 2
Team A2368 5,Team B2368 0
Team A2369 6,Team B2369 7
Team A2370 6,Team B2370 0
Team A2371 8,Team B2371 0
Team A2372 1,Team B2372 1
Team A2373 1,Team B2373 5
Team A2374 2,Team B2374 2
Team A2375 1,Team B2375 9
Team A2376 6,Team B2376 7
Team A2377 6,Team B2377 5
Team A2378 9,Team B2378 3
Team A2379 6,Team B2379 4
Team A2380 7,Team B2380 2
Team A2381 2,Team B2381 2
Team A2382 1,Team B2382 7
Team A2383 8,Team B2383 4
Team A2384 5,Team B2384 0
Team A2385 1,Team B2385 4
Team A2386 9,Team B2386 9
Team A2387 8,Team B2387 8
Team A2388 0,Team B2388 1
Team A2389 0,Team B2389 9
Team A2390 0,Team B2390 8
Team A2391 5,Team B2391 5
Team A2392 8,Team B2392 9
Team A2393 0,Team B2393 6
Team A2394 8,Team B2394 8
Team A2395 8,Team B2395 4
Team A2396 5,Team B2396 0
Team A2397 6,Team B2397 1
Team A2398 6,Team B2398 0
Team A2399 8,Team B2399 6
Team A2400 5,Team B2400 6
Team A2401 3,Team B2401 3
Team A2402 7,Team B2402 3
Team A2403 4,Team B2403 6
Team A2404 3,Team B2404 4
Team A2405 6,Team B2405 7
Team A2406 4,Team B2406 0
Team A2407 3,Team B2407 1
Team A2408 7,Team B2408 9
Team A2409 7,Team B2409 6
Team A2410 3,Team B2410 9
Team A2411 9,Team B2411 1
Team A2412 4,Team B2412 0
Team A2413 1,Team B2413 0
Team A2414 2,Team B2414 3
Team A2415 8,Team B2415 4
Team A2416 9,Team B2416 2
Team A2417 5,Team B2417 9
Team A2418 0,Team B2418 7
Team A2419 8,Team B2419 1
Team A2420 7,Team B2420 3
Team A2421 3,Team B2421 3
Team A2422 1,Team B2422 8
Team A2423 4,Team B2423 4
Team A2424 1,Team B2424 2
Team A2425 3,Team B2425 7
Team A2426 6,Team B2426 5
Team A2427 2,Team B2427 0
Team A2428 2,Team B2428 2
Team A2429 4,Team B2429 7
Team A2430 3,Team B2430 8
Team A2431 7,Team B2431 4
Team A2432 6,Team B2432 9
Team A2433 3,Team B2433 6
Team A2434 2,Team B2434 2
Team A2435 3,Team B2435 1
Team A2436 0,Team B2436 6
Team A2437 1,Team B2437 6
Team A2438 5,Team B2438 8
Team A2439 8,Team B2439 7
Team A2440 1,Team B2440 7
Team A2441 7,Team B2441 1
Team A2442 2,Team B2442 1
Team A2443 4,Team B2443 8
Team A2444 4,Team B2444 5
Team A2445 4,Team B2445 6
Team A2446 8,Team B2446 1
Team A2447 1,Team B2447 8
Team A2448 6,Team B2448 4
Team A2449 6,Team B2449 3
Team A2450 4,Team B2450 8
Team A2451 7,Team B2451 3
Team A2452 3,Team B2452 7
Team A2453 5,Team B2453 2
Team A2454 3,Team B2454 5
Team A2455 6,Team B2455 3
Team A2456 4,Team B2456 3
Team A2457 2,Team B2457 7
Team A2458 2,Team B2458 1
Team A2459 4,Team B2459 4
Team A2460 4,Team B2460 1
Team A2461 5,Team B2461 5
Team A2462 4,Team B2462 9
Team A2463 0,Team B2463 5
Team A2464 7,Team B2464 6
Team A2465 0,Team B2465 0
Team A2466 6,Team B2466 9
Team A2467 6,Team B2467 5
Team A2468 5,Team B2468 1
Team A2469 9,Team B2469 1
Team A2470 9,Team B2470 6
Team A2471 8,Team B2471 5
Team A2472 5,Team B2472 6
Team A2473 0,Team B2473 5
Team A2474 3,Team B2474 1
Team A2475 8,Team B2475 2
Team A2476 7,Team B2476 2
Team A2477 5,Team B2477 8
Team A2478 9,Team B2478 5
Team A2479 7,Team B2479 5
Team A2480 2,Team B2480 6
Team A2481 4,Team B2481 2
Team A2482 4,Team B2482 9
Team A2483 0,Team B2483 4
Team A2484 1,Team B2484 3
Team A2485 7,Team B2485 3
Team A2486 3,Team B2486 3
Team A2487 3,Team B2487 7
Team A2488 6,Team B2488 0
Team A2489 4,Team B2489 9
Team A2490 6,Team B2490 4
Team A2491 2,Team B2491 6
Team A2492 4,Team B2492 1
Team A2493 8,Team B2493 4
Team A2494 1,Team B2494 7
Team A2495 9,Team B2495 0
Team A2496 0,Team B2496 7
Team A2497 3,Team B2497 9
Team A2498 0,Team B2498 4
Team A2499 1,Team B2499 0
Team A2500 9,Team B2500 3
Team A2501 4,Team B2501 7
Team A2502 2,Team B2502 5
Team A2503 0,Team B2503 5
Team A2504 4,Team B2504 6
Team A2505 2,Team B2505 1
Team A2506 9,Team B2506 7
Team A2507 7,Team B2507 1
Team A2508 3,Team B2508 0
Team A2509 9,Team B2509 8
Team A2510 1,Team B2510 2
Team A2511 5,Team B2511 0
Team A2512 5,Team B2512 7
Team A2513 9,Team B2513 2
Team A2514 6,Team B2514 3
Team A2515 9,Team B2515 7
Team A2516 5,Team B2516 6
Team A2517 4,Team B2517 8
Team A2518 0,Team B2518 9
Team A2519 0,Team B2519 5
Team A2520 7,Team B2520 2
Team A2521 2,Team B2521 3
Team A2522 3,Team B2522 2
Team A2523 1,Team B2523 3
Team A2524 6,Team B2524 0
Team A2525 2,Team B2525 2
Team A2526 0,Team B2526 5
Team A2527 6,Team B2527 0
Team A2528 3,Team B2528 5
Team A2529 0,Team B2529 5
Team A2530 9,Team B2530 7
Team A2531 0,Team B2531 3
Team A2532 7,Team B2532 8
Team A2533 7,Team B2533 0
Team A2534 2,Team B2534 6
Team A2535 3,Team B2535 9
Team A2536 0,Team B2536 3
Team A2537 8,Team B2537 2
Team A2538 1,Team B2538 4
Team A2539 4,Team B2539 0
Team A2540 8,Team B2540 3
Team A2541 0,Team B2541 0
Team A2542 5,Team B2542 3
Team A2543 9,Team B2543 4
Team A2544 5,Team B2544 6
Team A2545 2,Team B2545 0
Team A2546 5,Team B2546 9
Team A2547 3,Team B2547 3
Team A2548 4,Team B2548 7
Team A2549 3,Team B2549 0
Team A2550 8,Team B2550 1
Team A2551 4,Team B2551 0
Team A2552 3,Team B2552 4
Team A2553 4,Team B2553 6
Team A2554 8,Team B2554 3
Team A2555 5,Team B2555 9
Team A2556 7,Team B2556 7
Team A2557 7,Team B2557 5
Team A2558 4,Team B2558 3
Team A2559 6,Team B2559 2
Team A2560 9,Team B2560 1
Team A2561 4,Team B2561 6
Team A2562 1,Team B2562 7
Team A2563 2,Team B2563 4
Team A2564 4,Team B2564 1
Team A2565 8,Team B2565 9
Team A2566 9,Team B2566 7
Team A2567 1,Team B2567 6
Team A2568 6,Team B2568 7
Team A2569 3,Team B2569 6
Team A2570 5,Team B2570 1
Team A2571 4,Team B2571 6
Team A2572 3,Team B2572 5
Team A2573 3,Team B2573 4
Team A2574 1,Team B2574 4
Team A2575 8,Team B2575 1
Team A2576 7,Team B2576 8
Team A2577 4,Team B2577 6
Team A2578 5,Team B2578 2
Team A2579 6,Team B2579 9
Team A2580 5,Team B2580 4
Team A2581 4,Team B2581 8
Team A2582 4,Team B2582 8
Team A2583 6,Team B2583 6
Team A2584 6,Team B2584 8
Team A2585 5,Team B2585 1
Team A2586 4,Team B2586 0
Team A2587 1,Team B2587 3
Team A2588 8,Team B2588 3
Team A2589 4,Team B2589 8
Team A2590 3,Team B2590 6
Team A2591 3,Team B2591 1
Team A2592 1,Team B2592 3
Team A2593 9,Team B2593 0
Team A2594 7,Team B2594 6
Team A2595 0,Team B2595 6
Team A2596 3,Team B2596 0
Team A2597 3,Team B2597 5
Team A2598 8,Team B2598 8
Team A2599 4,Team B2599 0
Team A2600 9,Team B2600 4
Team A2601 0,Team B2601 1
Team A2602 9,Team B2602 5
Team A2603 6,Team B2603 5
Team A2604 3,Team B2604 5
Team A2605 4,Team B2605 7
Team A2606 8,Team B2606 0
Team A2607 1,Team B2607 8
Team A2608 3,Team B2608 9
Team A2609 5,Team B2609 7
Team A2610 3,Team B2610 0
Team A2611 6,Team B2611 0
Team A2612 4,Team B2612 0
Team A2613 7,Team B2613 1
Team A2614 6,Team B2614 5
Team A2615 4,Team B2615 0
Team A2616 5,Team B2616 2
Team A2617 8,Team B2617 1
Team A2618 6,Team B2618 0
Team A2619 8,Team B2619 9
Team A2620 9,Team B2620 4
Team A2621 9,Team B2621 8
Team A2622 9,Team B2622 6
Team A2623 9,Team B2623 5
Team A2624 1,Team B2624 2
Team A2625 1,Team B2625 1
Team A2626 9,Team B2626 6
Team A2627 4,Team B2627 5
Team A2628 4,Team B2628 6
Team A2629 5,Team B2629 7
Team A2630 0,Team B2630 7
Team A2631 0,Team B2631 0
Team A2632 3,Team B2632 2
Team A2633 6,Team B2633 5
Team A2634 8,Team B2634 5
Team A2635 5,Team B2635 1
Team A2636 9,Team B2636 0
Team A2637 5,Team B2637 4
Team A2638 3,Team B2638 7
Team A2639 4,Team B2639 3
Team A2640 9,Team B2640 4
Team A2641 7,Team B2641 9
Team A2642 7,Team B2642 1
Team A2643 2,Team B2643 9
Team A2644 2,Team B2644 6
Team A2645 9,Team B2645 4
Team A2646 9,Team B2646 6
Team A2647 3,Team B2647 5
Team A2648 6,Team B2648 3
Team A2649 9,Team B2649 3
Team A2650 2,Team B2650 8
Team A2651 7,Team B2651 4
Team A2652 9,Team B2652 5
Team A2653 0,Team B2653 3
Team A2654 3,Team B2654 0
Team A2655 6,Team B2655 3
Team A2656 3,Team B2656 5
Team A2657 9,Team B2657 5
Team A2658 9,Team B2658 8
Team A2659 4,Team B2659 7
Team A2660 3,Team B2660 8
Team A2661 6,Team B2661 8
Team A2662 9,Team B2662 1
Team A2663 3,Team B2663 7
Team A2664 6,Team B2664 2
Team A2665 4,Team B2665 3
Team A2666 2,Team B2666 7
Team A2667 8,Team B2667 2
Team A2668 3,Team B2668 6
Team A2669 5,Team B2669 1
Team A2670 8,Team B2670 8
Team A2671 0,Team B2671 1
Team A2672 0,Team B2672 7
Team A2673 2,Team B2673 6
Team A2674 3,Team B2674 0
Team A2675 7,Team B2675 5
Team A2676 4,Team B2676 9
Team A2677 0,Team B2677 4
Team A2678 4,Team B2678 6
Team A2679 2,Team B2679 8
Team A2680 2,Team B2680 3
Team A2681 1,Team B2681 3
Team A2682 5,Team B2682 4
Team A2683 3,Team B2683 0
Team A2684 7,Team B2684 6
Team A2685 0,Team B2685 5
Team A2686 9,Team B2686 9
Team A2687 7,Team B2687 1
Team A2688 1,Team B2688 4
Team A2689 1,Team B2689 3
Team A2690 5,Team B2690 8
Team A2691 2,Team B2691 5
Team A2692 0,Team B2692 0
Team A2693 8,Team B2693 9
Team A2694 5,Team B2694 9
Team A2695 9,Team B2695 4
Team A2696 4,Team B2696 1
Team A2697 0,Team B2697 5
Team A2698 5,Team B2698 0
Team A2699 3,Team B2699 9
Team A2700 7,Team B2700 0
Team A2701 4,Team B2701 6
Team A2702 0,Team B2702 9
Team A2703 4,Team B2703 8
Team A2704 5,Team B2704 9
Team A2705 0,Team B2705 2
Team A2706 9,Team B2706 9
Team A2707 9,Team B2707 0
Team A2708 1,Team B2708 9
Team A2709 2,Team B2709 8
Team A2710 6,Team B2710 6
Team A2711 7,Team B2711 5
Team A2712 1,Team B2712 7
Team A2713 5,Team B2713 0
Team A2714 6,Team B2714 4
Team A2715 3,Team B2715 0
Team A2716 0,Team B2716 9
Team A2717 4,Team B2717 8
Team A2718 1,Team B2718 4
Team A2719 2,Team B2719 5
Team A2720 0,Team B2720 3
Team A2721 8,Team B2721 8
Team A2722 0,Team B2722 2
Team A2723 1,Team B2723 0
Team A2724 6,Team B2724 1
Team A2725 7,Team B2725 5
Team A2726 6,Team B2726 7
Team A2727 2,Team B2727 5
Team A2728 3,Team B2728 4
Team A2729 0,Team B2729 7
Team A2730 5,Team B2730 0
Team A2731 8,Team B2731 4
Team A2732 9,Team B2732 7
Team A2733 9,Team B2733 9
Team A2734 3,Team B2734 6
Team A2735 4,Team B2735 2
Team A2736 9,Team B2736 3
Team A2737 0,Team B2737 3
Team A2738 6,Team B2738 5
Team A2739 7,Team B2739 7
Team A2740 4,Team B2740 6
Team A2741 1,Team B2741 2
Team A2742 7,Team B2742 8
Team A2743 8,Team B2743 3
Team A2744 8,Team B2744 3
Team A2745 0,Team B2745 0
Team A2746 1,Team B2746 0
Team A2747 8,Team B2747 3
Team A2748 7,Team B2748 8
Team A2749 9,Team B2749 8
Team A2750 3,Team B2750 7
Team A2751 4,Team B2751 0
Team A2752 6,Team B2752 1
Team A2753 6,Team B2753 5
Team A2754 2,Team B2754 5
Team A2755 3,Team B2755 4
Team A2756 6,Team B2756 5
Team A2757 9,Team B2757 3
Team A2758 6,Team B2758 8
Team A2759 9,Team B2759 4
Team A2760 8,Team B2760 5
Team A2761 9,Team B2761 3
Team A2762 2,Team B2762 6
Team A2763 3,Team B2763 1
Team A2764 7,Team B2764 1
Team A2765 4,Team B2765 1
Team A2766 7,Team B2766 2
Team A2767 5,Team B2767 9
Team A2768 9,Team B2768 5
Team A2769 5,Team B2769 4
Team A2770 6,Team B2770 6
Team A2771 3,Team B2771 0
Team A2772 3,Team B2772 1
Team A2773 4,Team B2773 6
Team A2774 1,Team B2774 3
Team A2775 3,Team B2775 9
Team A2776 9,Team B2776 1
Team A2777 0,Team B2777 2
Team A2778 3,Team B2778 6
Team A2779 5,Team B2779 9
Team A2780 1,Team B2780 0
Team A2781 4,Team B2781 0
Team A2782 9,Team B2782 8
Team A2783 1,Team B2783 8
Team A2784 3,Team B2784 3
Team A2785 7,Team B2785 5
Team A2786 5,Team B2786 5
Team A2787 5,Team B2787 1
Team A2788 8,Team B2788 7
Team A2789 1,Team B2789 4
Team A2790 7,Team B2790 6
Team A2791 7,Team B2791 4
Team A2792 3,Team B2792 8
Team A2793 7,Team B2793 7
Team A2794 0,Team B2794 4
Team A2795 7,Team B2795 0
Team A2796 1,Team B2796 4
Team A2797 4,Team B2797 9
Team A2798 6,Team B2798 9
Team A2799 4,Team B2799 5
Team A2800 6,Team B2800 0
Team A2801 2,Team B2801 5
Team A2802 8,Team B2802 6
Team A2803 8,Team B2803 0
Team A2804 7,Team B2804 0
Team A2805 4,Team B2805 0
Team A2806 7,Team B2806 8
Team A2807 6,Team B2807 5
Team A2808 9,Team B2808 2
Team A2809 0,Team B2809 2
Team A2810 4,Team B2810 0
Team A2811 4,Team B2811 3
Team A2812 8,Team B2812 3
Team A2813 9,Team B2813 4
Team A2814 6,Team B2814 2
Team A2815 7,Team B2815 8
Team A2816 5,Team B2816 4
Team A2817 8,Team B2817 0
Team A2818 6,Team B2818 5
Team A2819 1,Team B2819 1
Team A2820 6,Team B2820 1
Team A2821 6,Team B2821 2
Team A2822 5,Team B2822 0
Team A2823 5,Team B2823 5
Team A2824 4,Team B2824 6
Team A2825 9,Team B2825 4
Team A2826 8,Team B2826 7
Team A2827 3,Team B2827 9
Team A2828 8,Team B2828 5
Team A2829 3,Team B2829 9
Team A2830 4,Team B2830 2
Team A2831 2,Team B2831 4
Team A2832 1,Team B2832 4
Team A2833 7,Team B2833 2
Team A2834 2,Team B2834 8
Team A2835 5,Team B2835 3
Team A2836 8,Team B2836 4
Team A2837 3,Team B2837 6
Team A2838 2,Team B2838 5
Team A2839 1,Team B2839 6
Team A2840 2,Team B2840 6
Team A2841 2,Team B2841 4
Team A2842 7,Team B2842 4
Team A2843 1,Team B2843 7
Team A2844 5,Team B2844 3
Team A2845 2,Team B2845 0
Team A2846 1,Team B2846 5
Team A2847 1,Team B2847 5
Team A2848 2,Team B2848 5
Team A2849 7,Team B2849 1
Team A2850 0,Team B2850 1
Team A2851 0,Team B2851 7
Team A2852 9,Team B2852 4
Team A2853 1,Team B2853 5
Team A2854 9,Team B2854 6
Team A2855 7,Team B2855 8
Team A2856 2,Team B2856 5
Team A2857 0,Team B2857 8
Team A2858 2,Team B2858 6
Team A2859 1,Team B2859 1
Team A2860 0,Team B2860 5
Team A2861 9,Team B2861 2
Team A2862 9,Team B2862 2
Team A2863 2,Team B2863 1
Team A2864 8,Team B2864 0
Team A2865 1,Team B2865 3
Team A2866 6,Team B2866 0
Team A2867 7,Team B2867 4
Team A2868 7,Team B2868 0
Team A2869 6,Team B2869 1
Team A2870 6,Team B2870 7
Team A2871 5,Team B2871 3
Team A2872 0,Team B2872 4
Team A2873 1,Team B2873 8
Team A2874 6,Team B2874 3
Team A2875 2,Team B2875 0
Team A2876 2,Team B2876 7
Team A2877 2,Team B2877 5
Team A2878 9,Team B2878 6
Team A2879 0,Team B2879 8
Team A2880 3,Team B2880 2
Team A2881 2,Team B2881 6
Team A2882 2,Team B2882 9
Team A2883 9,Team B2883 6
Team A2884 7,Team B2884 2
Team A2885 8,Team B2885 3
Team A2886 7,Team B2886 2
Team A2887 3,Team B2887 2
Team A2888 9,Team B2888 2
Team A2889 4,Team B2889 0
Team A2890 5,Team B2890 3
Team A2891 8,Team B2891 4
Team A2892 7,Team B2892 0
Team A2893 5,Team B2893 2
Team A2894 1,Team B2894 9
Team A2895 9,Team B2895 3
Team A2896 9,Team B2896 9
Team A2897 5,Team B2897 8
Team A2898 2,Team B2898 4
Team A2899 2,Team B2899 6
Team A2900 1,Team B2900 2
Team A2901 9,Team B2901 2
Team A2902 1,Team B2902 3
Team A2903 5,Team B2903 6
Team A2904 4,Team B2904 9
Team A2905 7,Team B2905 7
Team A2906 0,Team B2906 3
Team A2907 2,Team B2907 8
Team A2908 8,Team B2908 9
Team A2909 8,Team B2909 4
Team A2910 7,Team B2910 3
Team A2911 1,Team B2911 8
Team A2912 8,Team B2912 5
Team A2913 8,Team B2913 5
Team A2914 2,Team B2914 0
Team A2915 8,Team B2915 9
Team A2916 2,Team B2916 1
Team A2917 4,Team B2917 1
Team A2918 6,Team B2918 3
Team A2919 0,Team B2919 9
Team A2920 1,Team B2920 3
Team A2921 6,Team B2921 5
Team A2922 6,Team B2922 3
Team A2923 4,Team B2923 4
Team A2924 7,Team B2924 7
Team A2925 7,Team B2925 3
Team A2926 2,Team B2926 7
Team A2927 1,Team B2927 0
Team A2928 7,Team B2928 6
Team A2929 9,Team B2929 6
Team A2930 4,Team B2930 6
Team A2931 1,Team B2931 3
Team A2932 7,Team B2932 9
Team A2933 1,Team B2933 4
Team A2934 7,Team B2934 9
Team A2935 9,Team B2935 7
Team A2936 8,Team B2936 3
Team A2937 8,Team B2937 3
Team A2938 2,Team B2938 5
Team A2939 7,Team B2939 0
Team A2940 0,Team B2940 2
Team A2941 4,Team B2941 7
Team A2942 7,Team B2942 3
Team A2943 2,Team B2943 5
Team A2944 1,Team B2944 6
Team A2945 4,Team B2945 8
Team A2946 5,Team B2946 8
Team A2947 0,Team B2947 6
Team A2948 9,Team B2948 9
Team A2949 7,Team B2949 8
Team A2950 0,Team B2950 9
Team A2951 9,Team B2951 6
Team A2952 3,Team B2952 7
Team A2953 9,Team B2953 1
Team A2954 0,Team B2954 5
Team A2955 0,Team B2955 3
Team A2956 7,Team B2956 9
Team A2957 7,Team B2957 0
Team A2958 2,Team B2958 3
Team A2959 5,Team B2959 8
Team A2960 3,Team B2960 5
Team A2961 2,Team B2961 0
Team A2962 5,Team B2962 3
Team A2963 7,Team B2963 7
Team A2964 9,Team B2964 6
Team A2965 4,Team B2965 3
Team A2966 3,Team B2966 8
Team A2967 2,Team B2967 9
Team A2968 7,Team B2968 6
Team A2969 0,Team B2969 1
Team A2970 9,Team B2970 3
Team A2971 0,Team B2971 1
Team A2972 0,Team B2972 4
Team A2973 8,Team B2973 1
Team A2974 5,Team B2974 3
Team A2975 8,Team B2975 3
Team A2976 6,Team B2976 5
Team A2977 5,Team B2977 7
Team A2978 4,Team B2978 7
Team A2979 1,Team B2979 5
Team A2980 8,Team B2980 6
Team A2981 7,Team B2981 8
Team A2982 7,Team B2982 5
Team A2983 3,Team B2983 5
Team A2984 1,Team B2984 5
Team A2985 8,Team B2985 3
Team A2986 5,Team B2986 3
Team A2987 1,Team B2987 7
Team A2988 5,Team B2988 1
Team A2989 2,Team B2989 1
Team A2990 5,Team B2990 9
Team A2991 0,Team B2991 0
Team A2992 4,Team B2992 3
Team A2993 1,Team B2993 7
Team A2994 9,Team B2994 6
Team A2995 3,Team B2995 4
Team A2996 3,Team B2996 9
Team A2997 5,Team B2997 6
Team A2998 3,Team B2998 1
Team A2999 9,Team B2999 6
Team A3000 3,Team B3000 8
Team A3001 5,Team B3001 9
Team A3002 3,Team B3002 2
Team A3003 0,Team B3003 6
Team A3004 5,Team B3004 2
Team A3005 6,Team B3005 8
Team A3006 1,Team B3006 2
Team A3007 5,Team B3007 3
Team A3008 3,Team B3008 2
Team A3009 7,Team B3009 1
Team A3010 7,Team B3010 7
Team A3011 3,Team B3011 5
Team A3012 2,Team B3012 7
Team A3013 7,Team B3013 9
Team A3014 3,Team B3014 7
Team A3015 4,Team B3015 4
Team A3016 5,Team B3016 9
Team A3017 3,Team B3017 0
Team A3018 3,Team B3018 5
Team A3019 9,Team B3019 2
Team A3020 7,Team B3020 4
Team A3021 3,Team B3021 9
Team A3022 0,Team B3022 1
Team A3023 9,Team B3023 6
Team A3024 6,Team B3024 9
Team A3025 2,Team B3025 5
Team A3026 3,Team B3026 8
Team A3027 6,Team B3027 7
Team A3028 8,Team B3028 4
Team A3029 8,Team B3029 4
Team A3030 1,Team B3030 4
Team A3031 6,Team B3031 5
Team A3032 0,Team B3032 0
Team A3033 8,Team B3033 1
Team A3034 0,Team B3034 2
Team A3035 9,Team B3035 2
Team A3036 6,Team B3036 3
Team A3037 3,Team B3037 5
Team A3038 9,Team B3038 8
Team A3039 5,Team B3039 6
Team A3040 9,Team B3040 5
Team A3041 4,Team B3041 5
Team A3042 2,Team B3042 7
Team A3043 2,Team B3043 9
Team A3044 4,Team B3044 1
Team A3045 3,Team B3045 8
Team A3046 3,Team B3046 6
Team A3047 8,Team B3047 0
Team A3048 4,Team B3048 1
Team A3049 5,Team B3049 2
Team A3050 5,Team B3050 1
Team A3051 4,Team B3051 8
Team A3052 9,Team B3052 2
Team A3053 0,Team B3053 7
Team A3054 0,Team B3054 2
Team A3055 4,Team B3055 7
Team A3056 2,Team B3056 7
Team A3057 9,Team B3057 8
Team A3058 1,Team B3058 1
Team A3059 8,Team B3059 0
Team A3060 2,Team B3060 9
Team A3061 3,Team B3061 5
Team A3062 1,Team B3062 2
Team A3063 4,Team B3063 1
Team A3064 5,Team B3064 8
Team A3065 2,Team B3065 3
Team A3066 2,Team B3066 0
Team A3067 8,Team B3067 0
Team A3068 6,Team B3068 1
Team A3069 3,Team B3069 0
Team A3070 9,Team B3070 5
Team A3071 8,Team B3071 8
Team A3072 2,Team B3072 5
Team A3073 8,Team B3073 4
Team A3074 9,Team B3074 5
Team A3075 7,Team B3075 2
Team A3076 1,Team B3076 6
Team A3077 1,Team B3077 8
Team A3078 3,Team B3078 3
Team A3079 3,Team B3079 1
Team A3080 6,Team B3080 3
Team A3081 9,Team B3081 8
Team A3082 6,Team B3082 0
Team A3083 0,Team B3083 3
Team A3084 7,Team B3084 6
Team A3085 0,Team B3085 8
Team A3086 8,Team B3086 4
Team A3087 7,Team B3087 3
Team A3088 1,Team B3088 1
Team A3089 2,Team B3089 5
Team A3090 6,Team B3090 5
Team A3091 9,Team B3091 8
Team A3092 2,Team B3092 0
Team A3093 5,Team B3093 7
Team A3094 8,Team B3094 0
Team A3095 0,Team B3095 1
Team A3096 8,Team B3096 0
Team A3097 3,Team B3097 4
Team A3098 5,Team B3098 4
Team A3099 3,Team B3099 1
Team A3100 3,Team B3100 3
Team A3101 6,Team B3101 3
Team A3102 4,Team B3102 7
Team A3103 3,Team B3103 9
Team A3104 9,Team B3104 1
Team A3105 4,Team B3105 0
Team A3106 9,Team B3106 0
Team A3107 3,Team B3107 7
Team A3108 3,Team B3108 4
Team A3109 6,Team B3109 7
Team A3110 2,Team B3110 2
Team A3111 0,Team B3111 8
Team A3112 6,Team B3112 6
Team A3113 9,Team B3113 1
Team A3114 8,Team B3114 8
Team A3115 0,Team B3115 2
Team A3116 0,Team B3116 8
Team A3117 0,Team B3117 6
